Tipo,Tabela,ModelA,RunA,ModelB,RunB,HardDice,SoftDice,TemaA,TemaB,Similarity
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999993046124777,controle de versao,controle de versao,0.9999990463256836
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999993046124777,desempenho de scripts,desempenho de scripts,0.999999463558197
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,1,DEEPSEEK,2,1.0,0.9999993046124777,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999993046124777,controle de versao,controle de versao,0.9999990463256836
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999993046124777,desempenho de scripts,desempenho de scripts,0.999999463558197
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,1,DEEPSEEK,3,1.0,0.9999993046124777,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999993046124777,controle de versao,controle de versao,0.9999990463256836
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999993046124777,desempenho de scripts,desempenho de scripts,0.999999463558197
INTRA,public.TB_MIGRACAO_DADOS,DEEPSEEK,2,DEEPSEEK,3,1.0,0.9999993046124777,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,1,MISTRAL,2,1.0,0.9999994238217672,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,1,MISTRAL,2,1.0,0.9999994238217672,tempo de execucao,tempo de execucao,0.999999463558197
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,1,MISTRAL,2,1.0,0.9999994238217672,versoes de software,versoes de software,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,1,MISTRAL,3,1.0,0.9999994238217672,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,1,MISTRAL,3,1.0,0.9999994238217672,tempo de execucao,tempo de execucao,0.999999463558197
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,1,MISTRAL,3,1.0,0.9999994238217672,versoes de software,versoes de software,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,2,MISTRAL,3,1.0,0.9999994238217672,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,2,MISTRAL,3,1.0,0.9999994238217672,tempo de execucao,tempo de execucao,0.999999463558197
INTRA,public.TB_MIGRACAO_DADOS,MISTRAL,2,MISTRAL,3,1.0,0.9999994238217672,versoes de software,versoes de software,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,OPENAI,1,OPENAI,2,1.0,0.9999993443489075,execucao de scripts,execucao de scripts,0.9999992251396179
INTRA,public.TB_MIGRACAO_DADOS,OPENAI,1,OPENAI,2,1.0,0.9999993443489075,migracao de dados,migracao de dados,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,OPENAI,1,OPENAI,2,1.0,0.9999993443489075,versoes de software,versoes de software,0.9999994039535522
INTRA,public.TB_MIGRACAO_DADOS,OPENAI,1,OPENAI,3,1.0,0.9999993443489075,execucao de scripts,execucao de scripts,0.9999992251396179
INTRA,public.TB_MIGRACAO_DADOS,OPENAI,1,OPENAI,3,1.0,0.9999993443489075,migracao de dados,migracao de dados,0.9999994039535522
