Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__GEMINI,0.2222222222222222,0.6577062209447225
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7543791929880778
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.8242790699005127
public.TB_MIGRACAO_DADOS,GEMINI__VS__MISTRAL,0.0,0.433974285920461
public.TB_MIGRACAO_DADOS,GEMINI__VS__OPENAI,0.0,0.48057420386208427
public.TB_MIGRACAO_DADOS,MISTRAL__VS__OPENAI,0.6666666666666666,0.8912213842074076
public.rl_aldeia_localidade,DEEPSEEK__VS__GEMINI,0.0,0.42598731650246513
public.rl_aldeia_localidade,DEEPSEEK__VS__MISTRAL,0.0,0.4038051168123881
public.rl_aldeia_localidade,DEEPSEEK__VS__OPENAI,0.0,0.37508392996258205
public.rl_aldeia_localidade,GEMINI__VS__MISTRAL,0.0,0.5371219979392158
public.rl_aldeia_localidade,GEMINI__VS__OPENAI,0.0,0.4727410122200294
public.rl_aldeia_localidade,MISTRAL__VS__OPENAI,0.07407407407407407,0.4836098904962893
public.rl_antecedente_ciap,DEEPSEEK__VS__GEMINI,0.0,0.5191026241691025
public.rl_antecedente_ciap,DEEPSEEK__VS__MISTRAL,0.0,0.35420625739627415
public.rl_antecedente_ciap,DEEPSEEK__VS__OPENAI,0.2222222222222222,0.5298273166020712
public.rl_antecedente_ciap,GEMINI__VS__MISTRAL,0.0,0.11796716849009196
public.rl_antecedente_ciap,GEMINI__VS__OPENAI,0.0,0.39598684178458327
public.rl_antecedente_ciap,MISTRAL__VS__OPENAI,0.0,0.24180668592453003
public.rl_arquivo_atendprof,DEEPSEEK__VS__GEMINI,0.0,0.6436286436186897
public.rl_arquivo_atendprof,DEEPSEEK__VS__MISTRAL,0.0,0.5360171397527059
public.rl_arquivo_atendprof,DEEPSEEK__VS__OPENAI,0.0,0.6601087848345438
public.rl_arquivo_atendprof,GEMINI__VS__MISTRAL,0.0,0.4471062532177677
public.rl_arquivo_atendprof,GEMINI__VS__OPENAI,0.0,0.6613076859050326
public.rl_arquivo_atendprof,MISTRAL__VS__OPENAI,0.0,0.6975208653344048
public.rl_atend_obs_responsavel,DEEPSEEK__VS__GEMINI,0.0,0.48123154375288224
public.rl_atend_obs_responsavel,DEEPSEEK__VS__MISTRAL,0.0,0.6401443150308397
public.rl_atend_obs_responsavel,DEEPSEEK__VS__OPENAI,0.0,0.7727513114611307
public.rl_atend_obs_responsavel,GEMINI__VS__MISTRAL,0.0,0.6598529970204389
public.rl_atend_obs_responsavel,GEMINI__VS__OPENAI,0.0,0.4813482364018758
public.rl_atend_obs_responsavel,MISTRAL__VS__OPENAI,0.0,0.5059982670678033
