Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
public.TB_MIGRACAO_DADOS,DEEPSEEK,1.0,0.9999993046124777
public.TB_MIGRACAO_DADOS,GEMINI,0.3333333333333333,0.7099799513816833
public.TB_MIGRACAO_DADOS,MISTRAL,1.0,0.9999994238217672
public.TB_MIGRACAO_DADOS,OPENAI,1.0,0.9999993443489075
public.rl_aldeia_localidade,DEEPSEEK,1.0,0.9999995628992716
public.rl_aldeia_localidade,GEMINI,0.3333333333333333,0.8195284075207181
public.rl_aldeia_localidade,MISTRAL,0.3333333333333333,0.6904839674631754
public.rl_aldeia_localidade,OPENAI,0.2222222222222222,0.5739400254355537
public.rl_antecedente_ciap,DEEPSEEK,0.3333333333333333,0.7959430615107218
public.rl_antecedente_ciap,GEMINI,0.4444444444444444,0.7621369361877441
public.rl_antecedente_ciap,MISTRAL,1.0,0.9999993244806925
public.rl_antecedente_ciap,OPENAI,1.0,0.9999991059303284
public.rl_arquivo_atendprof,DEEPSEEK,1.0,0.9999995827674866
public.rl_arquivo_atendprof,GEMINI,0.5555555555555555,0.8401116795010037
public.rl_arquivo_atendprof,MISTRAL,0.7777777777777777,0.8909692035781012
public.rl_arquivo_atendprof,OPENAI,1.0,0.999999205271403
public.rl_atend_obs_responsavel,DEEPSEEK,1.0,0.9999991854031881
public.rl_atend_obs_responsavel,GEMINI,0.5555555555555555,0.8572987781630622
public.rl_atend_obs_responsavel,MISTRAL,0.5555555555555555,0.7394608391655817
public.rl_atend_obs_responsavel,OPENAI,1.0,0.9999994039535522
public.rl_atend_proced,DEEPSEEK,1.0,0.9999992251396179
public.rl_atend_proced,GEMINI,0.6,0.8412225087483725
public.rl_atend_proced,MISTRAL,0.7777777777777777,0.932624081770579
public.rl_atend_proced,OPENAI,1.0,0.999999205271403
public.rl_atend_prof_conduta,DEEPSEEK,1.0,0.9999995628992716
public.rl_atend_prof_conduta,GEMINI,0.3333333333333333,0.7727346155378555
public.rl_atend_prof_conduta,MISTRAL,1.0,0.9999991854031881
public.rl_atend_prof_conduta,OPENAI,0.7777777777777777,0.9177809688780042
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK,0.3333333333333333,0.7638096610705057
public.rl_atend_prof_odonto_tipo_encm,GEMINI,0.5555555555555555,0.7209721803665161
public.rl_atend_prof_odonto_tipo_encm,MISTRAL,1.0,0.9999993046124777
public.rl_atend_prof_odonto_tipo_encm,OPENAI,0.7777777777777777,0.9924893577893575
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK,1.0,0.9999992251396179
public.rl_atend_prof_odonto_tipo_frnc,GEMINI,0.6666666666666666,0.8460508088270823
public.rl_atend_prof_odonto_tipo_frnc,MISTRAL,0.7777777777777777,0.8909039696057638
public.rl_atend_prof_odonto_tipo_frnc,OPENAI,1.0,0.9999992450078329
public.rl_atend_tipo_servico,DEEPSEEK,0.5555555555555555,0.9006690316730076
public.rl_atend_tipo_servico,GEMINI,0.6,0.7396782259146373
public.rl_atend_tipo_servico,MISTRAL,1.0,0.9999992648760477
public.rl_atend_tipo_servico,OPENAI,1.0,0.9999993046124777
public.rl_ativ_col_lot_env,DEEPSEEK,0.7777777777777777,0.9586517413457235
public.rl_ativ_col_lot_env,GEMINI,0.2222222222222222,0.7293125126096937
public.rl_ativ_col_lot_env,MISTRAL,1.0,0.9999992648760477
public.rl_ativ_col_lot_env,OPENAI,1.0,0.9999991655349731
public.rl_ativ_col_pratica_saude,DEEPSEEK,0.7777777777777777,0.9018804762098526
public.rl_ativ_col_pratica_saude,GEMINI,0.5555555555555555,0.7422861523098416
public.rl_ativ_col_pratica_saude,MISTRAL,1.0,0.999999205271403
public.rl_ativ_col_pratica_saude,OPENAI,1.0,0.999999205271403
public.rl_ativ_col_publico_alvo,DEEPSEEK,0.7777777777777777,0.8944208953115674
public.rl_ativ_col_publico_alvo,GEMINI,0.5555555555555555,0.8846288654539322
public.rl_ativ_col_publico_alvo,MISTRAL,0.7777777777777777,0.9502058757676018
public.rl_ativ_col_publico_alvo,OPENAI,0.7777777777777777,0.9272172980838352
public.rl_ativ_col_tema_reuniao,DEEPSEEK,1.0,0.9999994238217672
public.rl_ativ_col_tema_reuniao,GEMINI,0.4444444444444444,0.9200392497910393
public.rl_ativ_col_tema_reuniao,MISTRAL,0.7777777777777777,0.8944131731987
public.rl_ativ_col_tema_reuniao,OPENAI,1.0,0.9999992251396179
public.rl_ativ_col_tema_saude,DEEPSEEK,1.0,0.9999992251396179
public.rl_ativ_col_tema_saude,GEMINI,1.0,0.9999991456667582
public.rl_ativ_col_tema_saude,MISTRAL,1.0,0.9999992251396179
public.rl_ativ_col_tema_saude,OPENAI,1.0,0.9999992251396179
public.rl_ator_papel_perfil,DEEPSEEK,1.0,0.9999993046124777
public.rl_ator_papel_perfil,GEMINI,0.3333333333333333,0.7841137051582336
public.rl_ator_papel_perfil,MISTRAL,1.0,0.9999994039535522
public.rl_ator_papel_perfil,OPENAI,0.5555555555555555,0.9149808684984843
public.rl_calendario_vacnl_grupo_alvo,DEEPSEEK,1.0,0.9999993840853373
public.rl_calendario_vacnl_grupo_alvo,GEMINI,0.5555555555555555,0.8829802539613513
public.rl_calendario_vacnl_grupo_alvo,MISTRAL,0.3333333333333333,0.8609169456693863
public.rl_calendario_vacnl_grupo_alvo,OPENAI,1.0,0.9999994039535522
public.rl_cds_atend_dom_proced,DEEPSEEK,1.0,0.9999992450078329
public.rl_cds_atend_dom_proced,GEMINI,0.3333333333333333,0.6651176744037205
public.rl_cds_atend_dom_proced,MISTRAL,1.0,0.9999991456667582
public.rl_cds_atend_dom_proced,OPENAI,1.0,0.9999994238217672
public.rl_cds_atend_dom_situacao_pres,DEEPSEEK,0.7777777777777777,0.7777772943178812
public.rl_cds_atend_dom_situacao_pres,GEMINI,1.0,0.999999483426412
public.rl_cds_atend_dom_situacao_pres,MISTRAL,1.0,0.9999997218449911
public.rl_cds_atend_dom_situacao_pres,OPENAI,1.0,0.9999995628992716
public.rl_cds_atend_individual_ciap,DEEPSEEK,0.5555555555555555,0.7074409657054478
public.rl_cds_atend_individual_ciap,GEMINI,0.1111111111111111,0.48298209243350554
public.rl_cds_atend_individual_ciap,MISTRAL,0.3333333333333333,0.6759882834222583
public.rl_cds_atend_individual_ciap,OPENAI,1.0,0.9999992648760477
public.rl_cds_atend_individual_condut,DEEPSEEK,1.0,0.9999992251396179
public.rl_cds_atend_individual_condut,GEMINI,0.5555555555555555,0.7361296481556363
public.rl_cds_atend_individual_condut,MISTRAL,1.0,0.9999992450078329
public.rl_cds_atend_individual_condut,OPENAI,0.7777777777777777,0.9633734623591105
public.rl_cds_atend_individual_exame,DEEPSEEK,0.7777777777777777,0.9953320622444153
public.rl_cds_atend_individual_exame,GEMINI,0.5555555555555555,0.8972883621851603
public.rl_cds_atend_individual_exame,MISTRAL,0.7777777777777777,0.7777773472997879
public.rl_cds_atend_individual_exame,OPENAI,1.0,0.9999993443489075
public.rl_cds_atend_individual_nasf,DEEPSEEK,0.7777777777777777,0.9077253739039103
public.rl_cds_atend_individual_nasf,GEMINI,0.5111111111111112,0.724143468009101
public.rl_cds_atend_individual_nasf,MISTRAL,1.0,0.9999990463256836
public.rl_cds_atend_individual_nasf,OPENAI,0.6666666666666666,0.9006818797853259
public.rl_cds_atend_odont_tip_vig_buc,DEEPSEEK,1.0,0.9999993244806925
public.rl_cds_atend_odont_tip_vig_buc,GEMINI,0.8666666666666667,0.8666664083798726
public.rl_cds_atend_odont_tip_vig_buc,MISTRAL,1.0,0.9999992251396179
public.rl_cds_atend_odont_tip_vig_buc,OPENAI,0.7777777777777777,0.9117424289385477
public.rl_cds_atend_odonto_proced,DEEPSEEK,0.7777777777777777,0.9808045956823562
public.rl_cds_atend_odonto_proced,GEMINI,0.7777777777777777,0.9560962849193149
public.rl_cds_atend_odonto_proced,MISTRAL,1.0,0.9999990661938986
public.rl_cds_atend_odonto_proced,OPENAI,1.0,0.9999993244806925
public.rl_cds_atend_odonto_tipo_cnslt,DEEPSEEK,0.7777777777777777,0.9660483863618637
public.rl_cds_atend_odonto_tipo_cnslt,GEMINI,0.6666666666666666,0.9001096884409586
public.rl_cds_atend_odonto_tipo_cnslt,MISTRAL,1.0,0.9999995231628418
public.rl_cds_atend_odonto_tipo_cnslt,OPENAI,0.7777777777777777,0.9433291554450989
public.rl_cds_atend_odonto_tipo_encam,DEEPSEEK,1.0,0.9999991456667582
public.rl_cds_atend_odonto_tipo_encam,GEMINI,0.2222222222222222,0.6394260393248663
public.rl_cds_atend_odonto_tipo_encam,MISTRAL,1.0,0.9999993046124777
public.rl_cds_atend_odonto_tipo_encam,OPENAI,0.7777777777777777,0.9433289898766412
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK,0.7777777777777777,0.9246544573042127
public.rl_cds_atend_odonto_tipo_fornc,GEMINI,1.0,0.999999205271403
public.rl_cds_atend_odonto_tipo_fornc,MISTRAL,1.0,0.9999992648760477
public.rl_cds_atend_odonto_tipo_fornc,OPENAI,1.0,0.9999991655349731
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK,0.5666666666666668,0.7725839356581371
public.rl_cds_aval_eleg_ad_tipo_inelg,GEMINI,0.5111111111111111,0.7880089720090231
public.rl_cds_aval_eleg_ad_tipo_inelg,MISTRAL,0.7777777777777777,0.9850186771816678
public.rl_cds_aval_eleg_ad_tipo_inelg,OPENAI,1.0,0.9999993642171224
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK,0.3333333333333333,0.6539044247733222
public.rl_cds_aval_eleg_cds_situc_prs,GEMINI,0.1111111111111111,0.7861068646113077
public.rl_cds_aval_eleg_cds_situc_prs,MISTRAL,0.5555555555555555,0.7207125425338745
public.rl_cds_aval_eleg_cds_situc_prs,OPENAI,1.0,0.999999463558197
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK,1.0,0.9999990860621134
public.rl_cds_ficha_atend_indivdl_prf,GEMINI,0.3333333333333333,0.7098725941446092
public.rl_cds_ficha_atend_indivdl_prf,MISTRAL,0.7777777777777777,0.777777201599545
public.rl_cds_ficha_atend_indivdl_prf,OPENAI,1.0,0.9999991854031881
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK,0.7777777777777777,0.9218154549598694
public.rl_cds_ficha_atend_odonto_prof,GEMINI,0.6,0.5999995933638679
public.rl_cds_ficha_atend_odonto_prof,MISTRAL,0.7777777777777777,0.9439064727889166
public.rl_cds_ficha_atend_odonto_prof,OPENAI,1.0,0.9999992847442627
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK,0.7777777777777777,0.9850896530681186
public.rl_cds_ficha_ativ_col_pratica,GEMINI,0.5555555555555555,0.6978832019699944
public.rl_cds_ficha_ativ_col_pratica,MISTRAL,0.7777777777777777,0.7777772413359748
public.rl_cds_ficha_ativ_col_pratica,OPENAI,0.3333333333333333,0.803188509411282
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK,0.7777777777777777,0.9484934608141581
public.rl_cds_ficha_ativ_col_prof,GEMINI,0.5555555555555555,0.7296398017141555
public.rl_cds_ficha_ativ_col_prof,MISTRAL,1.0,0.9999990661938986
