Tipo,Alvo,HardDice_Lex_mean,SoftDice_Sem_mean,N_Tabelas
INTRA,DEEPSEEK,0.7973509102322662,0.9188734759733652,885
INTRA,GEMINI,0.5443063402385436,0.8178231864961827,885
INTRA,MISTRAL,0.7655367231638418,0.8953834836376738,885
INTRA,OPENAI,0.8617200251098557,0.9394203072393457,885
INTER,DEEPSEEK__VS__GEMINI,0.12249006068215107,0.6050878038930704,885
INTER,DEEPSEEK__VS__MISTRAL,0.2162628164888052,0.6080385295699695,885
INTER,DEEPSEEK__VS__OPENAI,0.21901653065494875,0.6224102248302885,885
INTER,GEMINI__VS__MISTRAL,0.10926553672316384,0.5478733960398323,885
INTER,GEMINI__VS__OPENAI,0.10449466415568112,0.5520564353957439,885
INTER,MISTRAL__VS__OPENAI,0.2859761456371626,0.6574824210549279,885
