Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.7012987012987013,0.54,0.54,1.0
0.01,0.7012987012987013,0.54,0.54,1.0
0.02,0.7012987012987013,0.54,0.54,1.0
0.03,0.7012987012987013,0.54,0.54,1.0
0.04,0.7012987012987013,0.54,0.54,1.0
0.05,0.7012987012987013,0.54,0.54,1.0
0.06,0.7012987012987013,0.54,0.54,1.0
0.07,0.7012987012987013,0.54,0.54,1.0
0.08,0.7012987012987013,0.54,0.54,1.0
0.09,0.7012987012987013,0.54,0.54,1.0
0.1,0.7012987012987013,0.54,0.54,1.0
0.11,0.7012987012987013,0.54,0.54,1.0
0.12,0.7012987012987013,0.54,0.54,1.0
0.13,0.7012987012987013,0.54,0.54,1.0
0.14,0.7012987012987013,0.54,0.54,1.0
0.15,0.7012987012987013,0.54,0.54,1.0
0.16,0.7012987012987013,0.54,0.54,1.0
0.17,0.7012987012987013,0.54,0.54,1.0
0.18,0.7012987012987013,0.54,0.54,1.0
0.19,0.7012987012987013,0.54,0.54,1.0
0.2,0.7012987012987013,0.54,0.54,1.0
0.21,0.7012987012987013,0.54,0.54,1.0
0.22,0.7012987012987013,0.54,0.54,1.0
0.23,0.7012987012987013,0.54,0.54,1.0
0.24,0.7012987012987013,0.54,0.54,1.0
0.25,0.7012987012987013,0.54,0.54,1.0
0.26,0.7012987012987013,0.54,0.54,1.0
0.27,0.7012987012987013,0.54,0.54,1.0
0.28,0.7012987012987013,0.54,0.54,1.0
0.29,0.7012987012987013,0.54,0.54,1.0
0.3,0.7012987012987013,0.54,0.54,1.0
0.31,0.7012987012987013,0.54,0.54,1.0
0.32,0.7012987012987013,0.54,0.54,1.0
0.33,0.7012987012987013,0.54,0.54,1.0
0.34,0.7012987012987013,0.54,0.54,1.0
0.35000000000000003,0.7012987012987013,0.54,0.54,1.0
0.36,0.7058823529411764,0.55,0.5454545454545454,1.0
0.37,0.72,0.58,0.5625,1.0
0.38,0.7260273972602741,0.6,0.5760869565217391,0.9814814814814815
0.39,0.75177304964539,0.65,0.6091954022988506,0.9814814814814815
0.4,0.757142857142857,0.66,0.6162790697674418,0.9814814814814815
0.41000000000000003,0.7794117647058825,0.7,0.6463414634146342,0.9814814814814815
0.42,0.7969924812030076,0.73,0.6708860759493671,0.9814814814814815
0.43,0.8091603053435115,0.75,0.6883116883116883,0.9814814814814815
0.44,0.8281250000000001,0.78,0.7162162162162162,0.9814814814814815
0.45,0.8412698412698414,0.8,0.7361111111111112,0.9814814814814815
0.46,0.848,0.81,0.7464788732394366,0.9814814814814815
0.47000000000000003,0.8739495798319328,0.85,0.8,0.9629629629629629
0.48,0.8888888888888888,0.87,0.8253968253968254,0.9629629629629629
0.49,0.912280701754386,0.9,0.8666666666666667,0.9629629629629629
0.5,0.9009009009009009,0.89,0.8771929824561403,0.9259259259259259
0.51,0.8807339449541284,0.87,0.8727272727272727,0.8888888888888888
0.52,0.8571428571428571,0.85,0.8823529411764706,0.8333333333333334
0.53,0.8461538461538461,0.84,0.88,0.8148148148148148
0.54,0.8514851485148516,0.85,0.9148936170212766,0.7962962962962963
0.55,0.8041237113402061,0.81,0.9069767441860465,0.7222222222222222
0.56,0.7789473684210526,0.79,0.9024390243902439,0.6851851851851852
0.5700000000000001,0.7472527472527473,0.77,0.918918918918919,0.6296296296296297
0.58,0.7045454545454545,0.74,0.9117647058823529,0.5740740740740741
0.59,0.6744186046511628,0.72,0.90625,0.5370370370370371
0.6,0.6265060240963856,0.69,0.896551724137931,0.48148148148148145
0.61,0.5925925925925926,0.67,0.8888888888888888,0.4444444444444444
0.62,0.5569620253164557,0.65,0.88,0.4074074074074074
0.63,0.48,0.61,0.8571428571428571,0.3333333333333333
0.64,0.42253521126760574,0.59,0.8823529411764706,0.2777777777777778
0.65,0.40579710144927533,0.59,0.9333333333333333,0.25925925925925924
0.66,0.28125,0.54,0.9,0.16666666666666666
0.67,0.22950819672131148,0.53,1.0,0.12962962962962962
0.68,0.22950819672131148,0.53,1.0,0.12962962962962962
0.6900000000000001,0.13793103448275862,0.5,1.0,0.07407407407407407
0.7000000000000001,0,0.46,0,0.0
0.71,0,0.46,0,0.0
0.72,0,0.46,0,0.0
0.73,0,0.46,0,0.0
0.74,0,0.46,0,0.0
0.75,0,0.46,0,0.0
0.76,0,0.46,0,0.0
0.77,0,0.46,0,0.0
0.78,0,0.46,0,0.0
0.79,0,0.46,0,0.0
0.8,0,0.46,0,0.0
0.81,0,0.46,0,0.0
0.8200000000000001,0,0.46,0,0.0
0.8300000000000001,0,0.46,0,0.0
0.84,0,0.46,0,0.0
0.85,0,0.46,0,0.0
0.86,0,0.46,0,0.0
0.87,0,0.46,0,0.0
0.88,0,0.46,0,0.0
0.89,0,0.46,0,0.0
0.9,0,0.46,0,0.0
0.91,0,0.46,0,0.0
0.92,0,0.46,0,0.0
0.93,0,0.46,0,0.0
0.9400000000000001,0,0.46,0,0.0
0.9500000000000001,0,0.46,0,0.0
0.96,0,0.46,0,0.0
0.97,0,0.46,0,0.0
0.98,0,0.46,0,0.0
0.99,0,0.46,0,0.0
1.0,0,0.46,0,0.0
