Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.7654320987654321,0.62,0.62,1.0
0.01,0.7654320987654321,0.62,0.62,1.0
0.02,0.7654320987654321,0.62,0.62,1.0
0.03,0.7654320987654321,0.62,0.62,1.0
0.04,0.7654320987654321,0.62,0.62,1.0
0.05,0.7654320987654321,0.62,0.62,1.0
0.06,0.7654320987654321,0.62,0.62,1.0
0.07,0.7654320987654321,0.62,0.62,1.0
0.08,0.7654320987654321,0.62,0.62,1.0
0.09,0.7654320987654321,0.62,0.62,1.0
0.1,0.7654320987654321,0.62,0.62,1.0
0.11,0.7654320987654321,0.62,0.62,1.0
0.12,0.7654320987654321,0.62,0.62,1.0
0.13,0.7654320987654321,0.62,0.62,1.0
0.14,0.7654320987654321,0.62,0.62,1.0
0.15,0.7654320987654321,0.62,0.62,1.0
0.16,0.7654320987654321,0.62,0.62,1.0
0.17,0.7654320987654321,0.62,0.62,1.0
0.18,0.7654320987654321,0.62,0.62,1.0
0.19,0.7654320987654321,0.62,0.62,1.0
0.2,0.7654320987654321,0.62,0.62,1.0
0.21,0.7654320987654321,0.62,0.62,1.0
0.22,0.7654320987654321,0.62,0.62,1.0
0.23,0.7654320987654321,0.62,0.62,1.0
0.24,0.7654320987654321,0.62,0.62,1.0
0.25,0.7654320987654321,0.62,0.62,1.0
0.26,0.7654320987654321,0.62,0.62,1.0
0.27,0.7654320987654321,0.62,0.62,1.0
0.28,0.7654320987654321,0.62,0.62,1.0
0.29,0.7654320987654321,0.62,0.62,1.0
0.3,0.7654320987654321,0.62,0.62,1.0
0.31,0.7654320987654321,0.62,0.62,1.0
0.32,0.7654320987654321,0.62,0.62,1.0
0.33,0.7654320987654321,0.62,0.62,1.0
0.34,0.7654320987654321,0.62,0.62,1.0
0.35000000000000003,0.7654320987654321,0.62,0.62,1.0
0.36,0.7654320987654321,0.62,0.62,1.0
0.37,0.7798742138364779,0.65,0.6391752577319587,1.0
0.38,0.7848101265822784,0.66,0.6458333333333334,1.0
0.39,0.7922077922077921,0.68,0.6630434782608695,0.9838709677419355
0.4,0.7972972972972973,0.7,0.686046511627907,0.9516129032258065
0.41000000000000003,0.7862068965517242,0.69,0.6867469879518072,0.9193548387096774
0.42,0.8142857142857143,0.74,0.7307692307692307,0.9193548387096774
0.43,0.8057553956834532,0.73,0.7272727272727273,0.9032258064516129
0.44,0.823529411764706,0.76,0.7567567567567568,0.9032258064516129
0.45,0.8208955223880596,0.76,0.7638888888888888,0.8870967741935484
0.46,0.8244274809160306,0.77,0.782608695652174,0.8709677419354839
0.47000000000000003,0.8188976377952757,0.77,0.8,0.8387096774193549
0.48,0.832,0.79,0.8253968253968254,0.8387096774193549
0.49,0.8360655737704918,0.8,0.85,0.8225806451612904
0.5,0.8333333333333334,0.8,0.8620689655172413,0.8064516129032258
0.51,0.823529411764706,0.79,0.8596491228070176,0.7903225806451613
0.52,0.8173913043478261,0.79,0.8867924528301887,0.7580645161290323
0.53,0.8214285714285714,0.8,0.92,0.7419354838709677
0.54,0.7889908256880733,0.77,0.9148936170212766,0.6935483870967742
0.55,0.7547169811320754,0.74,0.9090909090909091,0.6451612903225806
0.56,0.7184466019417476,0.71,0.9024390243902439,0.5967741935483871
0.5700000000000001,0.7058823529411764,0.7,0.9,0.5806451612903226
0.58,0.6666666666666666,0.67,0.8918918918918919,0.532258064516129
0.59,0.631578947368421,0.65,0.9090909090909091,0.4838709677419355
0.6,0.5934065934065935,0.63,0.9310344827586207,0.43548387096774194
0.61,0.5617977528089888,0.61,0.9259259259259259,0.4032258064516129
0.62,0.5176470588235295,0.59,0.9565217391304348,0.3548387096774194
0.63,0.5,0.58,0.9545454545454546,0.3387096774193548
0.64,0.4634146341463415,0.56,0.95,0.3064516129032258
0.65,0.36363636363636365,0.51,0.9333333333333333,0.22580645161290322
0.66,0.27777777777777773,0.48,1.0,0.16129032258064516
0.67,0.2028985507246377,0.45,1.0,0.11290322580645161
0.68,0.1492537313432836,0.43,1.0,0.08064516129032258
0.6900000000000001,0.09230769230769231,0.41,1.0,0.04838709677419355
0.7000000000000001,0,0.38,0,0.0
0.71,0,0.38,0,0.0
0.72,0,0.38,0,0.0
0.73,0,0.38,0,0.0
0.74,0,0.38,0,0.0
0.75,0,0.38,0,0.0
0.76,0,0.38,0,0.0
0.77,0,0.38,0,0.0
0.78,0,0.38,0,0.0
0.79,0,0.38,0,0.0
0.8,0,0.38,0,0.0
0.81,0,0.38,0,0.0
0.8200000000000001,0,0.38,0,0.0
0.8300000000000001,0,0.38,0,0.0
0.84,0,0.38,0,0.0
0.85,0,0.38,0,0.0
0.86,0,0.38,0,0.0
0.87,0,0.38,0,0.0
0.88,0,0.38,0,0.0
0.89,0,0.38,0,0.0
0.9,0,0.38,0,0.0
0.91,0,0.38,0,0.0
0.92,0,0.38,0,0.0
0.93,0,0.38,0,0.0
0.9400000000000001,0,0.38,0,0.0
0.9500000000000001,0,0.38,0,0.0
0.96,0,0.38,0,0.0
0.97,0,0.38,0,0.0
0.98,0,0.38,0,0.0
0.99,0,0.38,0,0.0
1.0,0,0.38,0,0.0
