Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.7421383647798743,0.59,0.59,1.0
0.01,0.7421383647798743,0.59,0.59,1.0
0.02,0.7421383647798743,0.59,0.59,1.0
0.03,0.7421383647798743,0.59,0.59,1.0
0.04,0.7421383647798743,0.59,0.59,1.0
0.05,0.7421383647798743,0.59,0.59,1.0
0.06,0.7421383647798743,0.59,0.59,1.0
0.07,0.7421383647798743,0.59,0.59,1.0
0.08,0.7421383647798743,0.59,0.59,1.0
0.09,0.7421383647798743,0.59,0.59,1.0
0.1,0.7421383647798743,0.59,0.59,1.0
0.11,0.7421383647798743,0.59,0.59,1.0
0.12,0.7421383647798743,0.59,0.59,1.0
0.13,0.7421383647798743,0.59,0.59,1.0
0.14,0.7421383647798743,0.59,0.59,1.0
0.15,0.7421383647798743,0.59,0.59,1.0
0.16,0.7421383647798743,0.59,0.59,1.0
0.17,0.7421383647798743,0.59,0.59,1.0
0.18,0.7421383647798743,0.59,0.59,1.0
0.19,0.7421383647798743,0.59,0.59,1.0
0.2,0.7421383647798743,0.59,0.59,1.0
0.21,0.7421383647798743,0.59,0.59,1.0
0.22,0.7421383647798743,0.59,0.59,1.0
0.23,0.7421383647798743,0.59,0.59,1.0
0.24,0.7421383647798743,0.59,0.59,1.0
0.25,0.7421383647798743,0.59,0.59,1.0
0.26,0.7421383647798743,0.59,0.59,1.0
0.27,0.7421383647798743,0.59,0.59,1.0
0.28,0.7421383647798743,0.59,0.59,1.0
0.29,0.7421383647798743,0.59,0.59,1.0
0.3,0.7421383647798743,0.59,0.59,1.0
0.31,0.7421383647798743,0.59,0.59,1.0
0.32,0.7421383647798743,0.59,0.59,1.0
0.33,0.7421383647798743,0.59,0.59,1.0
0.34,0.7421383647798743,0.59,0.59,1.0
0.35000000000000003,0.7421383647798743,0.59,0.59,1.0
0.36,0.7452631578947367,0.5966666666666667,0.5939597315436241,1.0
0.37,0.7580299785867237,0.6233333333333333,0.6103448275862069,1.0
0.38,0.7619047619047619,0.6333333333333333,0.6175438596491228,0.9943502824858758
0.39,0.7743362831858407,0.66,0.6363636363636364,0.9887005649717514
0.4,0.7889908256880734,0.6933333333333334,0.6640926640926641,0.9717514124293786
0.41000000000000003,0.7943925233644858,0.7066666666666667,0.6772908366533864,0.96045197740113
0.42,0.8105515587529977,0.7366666666666667,0.7041666666666667,0.9548022598870056
0.43,0.8077858880778589,0.7366666666666667,0.7094017094017094,0.9378531073446328
0.44,0.8188585607940446,0.7566666666666667,0.7300884955752213,0.9322033898305084
0.45,0.8274111675126903,0.7733333333333333,0.7511520737327189,0.9209039548022598
0.46,0.8238341968911916,0.7733333333333333,0.7607655502392344,0.8983050847457628
0.47000000000000003,0.832,0.79,0.7878787878787878,0.8813559322033898
0.48,0.8392370572207083,0.8033333333333333,0.8105263157894737,0.8700564971751412
0.49,0.85,0.82,0.8360655737704918,0.864406779661017
0.5,0.8490028490028491,0.8233333333333334,0.8563218390804598,0.8418079096045198
0.51,0.8463768115942029,0.8233333333333334,0.8690476190476191,0.8248587570621468
0.52,0.8323353293413174,0.8133333333333334,0.8853503184713376,0.7853107344632768
0.53,0.8220858895705522,0.8066666666666666,0.8993288590604027,0.7570621468926554
0.54,0.807570977917981,0.7966666666666666,0.9142857142857143,0.7231638418079096
0.55,0.7766990291262135,0.77,0.9090909090909091,0.6779661016949152
0.56,0.7483443708609271,0.7466666666666667,0.904,0.6384180790960452
0.5700000000000001,0.7297297297297298,0.7333333333333333,0.907563025210084,0.6101694915254238
0.58,0.687719298245614,0.7033333333333334,0.9074074074074074,0.5536723163841808
0.59,0.6594202898550725,0.6866666666666666,0.9191919191919192,0.5141242937853108
0.6,0.6165413533834587,0.66,0.9213483146067416,0.4632768361581921
0.61,0.5923076923076923,0.6466666666666666,0.927710843373494,0.4350282485875706
0.62,0.544,0.62,0.9315068493150684,0.384180790960452
0.63,0.4789915966386555,0.5866666666666667,0.9344262295081968,0.3220338983050847
0.64,0.43478260869565216,0.5666666666666667,0.9433962264150944,0.2824858757062147
0.65,0.3946188340807175,0.55,0.9565217391304348,0.24858757062146894
0.66,0.28846153846153844,0.5066666666666667,0.967741935483871,0.1694915254237288
0.67,0.22999999999999998,0.4866666666666667,1.0,0.12994350282485875
0.68,0.15625,0.46,1.0,0.0847457627118644
0.6900000000000001,0.08648648648648648,0.43666666666666665,1.0,0.04519774011299435
0.7000000000000001,0,0.41,0,0.0
0.71,0,0.41,0,0.0
0.72,0,0.41,0,0.0
0.73,0,0.41,0,0.0
0.74,0,0.41,0,0.0
0.75,0,0.41,0,0.0
0.76,0,0.41,0,0.0
0.77,0,0.41,0,0.0
0.78,0,0.41,0,0.0
0.79,0,0.41,0,0.0
0.8,0,0.41,0,0.0
0.81,0,0.41,0,0.0
0.8200000000000001,0,0.41,0,0.0
0.8300000000000001,0,0.41,0,0.0
0.84,0,0.41,0,0.0
0.85,0,0.41,0,0.0
0.86,0,0.41,0,0.0
0.87,0,0.41,0,0.0
0.88,0,0.41,0,0.0
0.89,0,0.41,0,0.0
0.9,0,0.41,0,0.0
0.91,0,0.41,0,0.0
0.92,0,0.41,0,0.0
0.93,0,0.41,0,0.0
0.9400000000000001,0,0.41,0,0.0
0.9500000000000001,0,0.41,0,0.0
0.96,0,0.41,0,0.0
0.97,0,0.41,0,0.0
0.98,0,0.41,0,0.0
0.99,0,0.41,0,0.0
1.0,0,0.41,0,0.0
