Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.6754966887417219,0.51,0.51,1.0
0.01,0.6754966887417219,0.51,0.51,1.0
0.02,0.6754966887417219,0.51,0.51,1.0
0.03,0.6754966887417219,0.51,0.51,1.0
0.04,0.6754966887417219,0.51,0.51,1.0
0.05,0.6754966887417219,0.51,0.51,1.0
0.06,0.6754966887417219,0.51,0.51,1.0
0.07,0.6754966887417219,0.51,0.51,1.0
0.08,0.6754966887417219,0.51,0.51,1.0
0.09,0.6754966887417219,0.51,0.51,1.0
0.1,0.6754966887417219,0.51,0.51,1.0
0.11,0.6754966887417219,0.51,0.51,1.0
0.12,0.6754966887417219,0.51,0.51,1.0
0.13,0.6754966887417219,0.51,0.51,1.0
0.14,0.6754966887417219,0.51,0.51,1.0
0.15,0.6754966887417219,0.51,0.51,1.0
0.16,0.6754966887417219,0.51,0.51,1.0
0.17,0.6754966887417219,0.51,0.51,1.0
0.18,0.6754966887417219,0.51,0.51,1.0
0.19,0.6754966887417219,0.51,0.51,1.0
0.2,0.6754966887417219,0.51,0.51,1.0
0.21,0.6754966887417219,0.51,0.51,1.0
0.22,0.6754966887417219,0.51,0.51,1.0
0.23,0.6754966887417219,0.51,0.51,1.0
0.24,0.6754966887417219,0.51,0.51,1.0
0.25,0.6754966887417219,0.51,0.51,1.0
0.26,0.6754966887417219,0.51,0.51,1.0
0.27,0.6754966887417219,0.51,0.51,1.0
0.28,0.6754966887417219,0.51,0.51,1.0
0.29,0.6754966887417219,0.51,0.51,1.0
0.3,0.6754966887417219,0.51,0.51,1.0
0.31,0.6754966887417219,0.51,0.51,1.0
0.32,0.6754966887417219,0.51,0.51,1.0
0.33,0.6754966887417219,0.51,0.51,1.0
0.34,0.6754966887417219,0.51,0.51,1.0
0.35,0.6754966887417219,0.51,0.51,1.0
0.36,0.6754966887417219,0.51,0.51,1.0
0.37,0.6891891891891893,0.54,0.5257731958762887,1.0
0.38,0.6938775510204082,0.55,0.53125,1.0
0.39,0.6993006993006993,0.57,0.5434782608695652,0.9803921568627451
0.4,0.7153284671532847,0.61,0.5697674418604651,0.9607843137254902
0.41,0.7164179104477613,0.62,0.5783132530120482,0.9411764705882353
0.42,0.744186046511628,0.67,0.6153846153846154,0.9411764705882353
0.43,0.7499999999999999,0.68,0.6233766233766234,0.9411764705882353
0.44,0.7680000000000001,0.71,0.6486486486486487,0.9411764705882353
0.45,0.7642276422764227,0.71,0.6527777777777778,0.9215686274509803
0.46,0.7833333333333333,0.74,0.6811594202898551,0.9215686274509803
0.47,0.8103448275862069,0.78,0.7230769230769231,0.9215686274509803
0.48,0.8245614035087719,0.8,0.746031746031746,0.9215686274509803
0.49,0.8288288288288289,0.81,0.7666666666666667,0.9019607843137255
0.5,0.8256880733944953,0.81,0.7758620689655172,0.8823529411764706
0.51,0.8148148148148149,0.8,0.7719298245614035,0.8627450980392157
0.52,0.8076923076923077,0.8,0.7924528301886793,0.8235294117647058
0.53,0.8118811881188118,0.81,0.82,0.803921568627451
0.54,0.7959183673469387,0.8,0.8297872340425532,0.7647058823529411
0.55,0.7578947368421053,0.77,0.8181818181818182,0.7058823529411765
0.56,0.7391304347826086,0.76,0.8292682926829268,0.6666666666666666
0.57,0.7252747252747253,0.75,0.825,0.6470588235294118
0.58,0.6818181818181819,0.72,0.8108108108108109,0.5882352941176471
0.59,0.6666666666666667,0.72,0.8484848484848485,0.5490196078431373
0.6,0.625,0.7,0.8620689655172413,0.49019607843137253
0.61,0.5897435897435898,0.68,0.8518518518518519,0.45098039215686275
0.62,0.5405405405405406,0.66,0.8695652173913043,0.39215686274509803
0.63,0.5205479452054794,0.65,0.8636363636363636,0.37254901960784315
0.64,0.5070422535211269,0.65,0.9,0.35294117647058826
0.65,0.42424242424242425,0.62,0.9333333333333333,0.27450980392156865
0.66,0.3278688524590164,0.59,1.0,0.19607843137254902
0.67,0.24137931034482762,0.56,1.0,0.13725490196078433
0.68,0.17857142857142855,0.54,1.0,0.09803921568627451
0.69,0.1111111111111111,0.52,1.0,0.058823529411764705
0.7,0,0.49,0,0.0
0.71,0,0.49,0,0.0
0.72,0,0.49,0,0.0
0.73,0,0.49,0,0.0
0.74,0,0.49,0,0.0
0.75,0,0.49,0,0.0
0.76,0,0.49,0,0.0
0.77,0,0.49,0,0.0
0.78,0,0.49,0,0.0
0.79,0,0.49,0,0.0
0.8,0,0.49,0,0.0
0.81,0,0.49,0,0.0
0.82,0,0.49,0,0.0
0.83,0,0.49,0,0.0
0.84,0,0.49,0,0.0
0.85,0,0.49,0,0.0
0.86,0,0.49,0,0.0
0.87,0,0.49,0,0.0
0.88,0,0.49,0,0.0
0.89,0,0.49,0,0.0
0.9,0,0.49,0,0.0
0.91,0,0.49,0,0.0
0.92,0,0.49,0,0.0
0.93,0,0.49,0,0.0
0.94,0,0.49,0,0.0
0.95,0,0.49,0,0.0
0.96,0,0.49,0,0.0
0.97,0,0.49,0,0.0
0.98,0,0.49,0,0.0
0.99,0,0.49,0,0.0
1.0,0,0.49,0,0.0
