Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.7012987012987013,0.54,0.54,1.0
0.01,0.7012987012987013,0.54,0.54,1.0
0.02,0.7012987012987013,0.54,0.54,1.0
0.03,0.7012987012987013,0.54,0.54,1.0
0.04,0.7012987012987013,0.54,0.54,1.0
0.05,0.7012987012987013,0.54,0.54,1.0
0.06,0.7012987012987013,0.54,0.54,1.0
0.07,0.7012987012987013,0.54,0.54,1.0
0.08,0.7012987012987013,0.54,0.54,1.0
0.09,0.7012987012987013,0.54,0.54,1.0
0.1,0.7012987012987013,0.54,0.54,1.0
0.11,0.7012987012987013,0.54,0.54,1.0
0.12,0.7012987012987013,0.54,0.54,1.0
0.13,0.7012987012987013,0.54,0.54,1.0
0.14,0.7012987012987013,0.54,0.54,1.0
0.15,0.7012987012987013,0.54,0.54,1.0
0.16,0.7012987012987013,0.54,0.54,1.0
0.17,0.7012987012987013,0.54,0.54,1.0
0.18,0.7012987012987013,0.54,0.54,1.0
0.19,0.7012987012987013,0.54,0.54,1.0
0.2,0.7012987012987013,0.54,0.54,1.0
0.21,0.7012987012987013,0.54,0.54,1.0
0.22,0.7012987012987013,0.54,0.54,1.0
0.23,0.7012987012987013,0.54,0.54,1.0
0.24,0.7012987012987013,0.54,0.54,1.0
0.25,0.7012987012987013,0.54,0.54,1.0
0.26,0.7012987012987013,0.54,0.54,1.0
0.27,0.7012987012987013,0.54,0.54,1.0
0.28,0.7012987012987013,0.54,0.54,1.0
0.29,0.7012987012987013,0.54,0.54,1.0
0.3,0.7012987012987013,0.54,0.54,1.0
0.31,0.7012987012987013,0.54,0.54,1.0
0.32,0.7012987012987013,0.54,0.54,1.0
0.33,0.7012987012987013,0.54,0.54,1.0
0.34,0.7012987012987013,0.54,0.54,1.0
0.35000000000000003,0.7012987012987013,0.54,0.54,1.0
0.36,0.7058823529411764,0.55,0.5454545454545454,1.0
0.37,0.72,0.58,0.5625,1.0
0.38,0.7397260273972603,0.62,0.5869565217391305,1.0
0.39,0.7659574468085107,0.67,0.6206896551724138,1.0
0.4,0.7714285714285715,0.68,0.627906976744186,1.0
0.41000000000000003,0.7941176470588235,0.72,0.6585365853658537,1.0
0.42,0.8120300751879699,0.75,0.6835443037974683,1.0
0.43,0.8244274809160306,0.77,0.7012987012987013,1.0
0.44,0.8437499999999999,0.8,0.7297297297297297,1.0
0.45,0.8571428571428571,0.82,0.75,1.0
0.46,0.864,0.83,0.7605633802816901,1.0
0.47000000000000003,0.8907563025210083,0.87,0.8153846153846154,0.9814814814814815
0.48,0.905982905982906,0.89,0.8412698412698413,0.9814814814814815
0.49,0.9298245614035088,0.92,0.8833333333333333,0.9814814814814815
0.5,0.918918918918919,0.91,0.8947368421052632,0.9444444444444444
0.51,0.8990825688073394,0.89,0.8909090909090909,0.9074074074074074
0.52,0.8761904761904761,0.87,0.9019607843137255,0.8518518518518519
0.53,0.8653846153846153,0.86,0.9,0.8333333333333334
0.54,0.8712871287128713,0.87,0.9361702127659575,0.8148148148148148
0.55,0.8247422680412371,0.83,0.9302325581395349,0.7407407407407407
0.56,0.8000000000000002,0.81,0.926829268292683,0.7037037037037037
0.5700000000000001,0.7692307692307693,0.79,0.9459459459459459,0.6481481481481481
0.58,0.7272727272727272,0.76,0.9411764705882353,0.5925925925925926
0.59,0.6976744186046512,0.74,0.9375,0.5555555555555556
0.6,0.6506024096385543,0.71,0.9310344827586207,0.5
0.61,0.617283950617284,0.69,0.9259259259259259,0.46296296296296297
0.62,0.5822784810126582,0.67,0.92,0.42592592592592593
0.63,0.5066666666666666,0.63,0.9047619047619048,0.35185185185185186
0.64,0.42253521126760574,0.59,0.8823529411764706,0.2777777777777778
0.65,0.40579710144927533,0.59,0.9333333333333333,0.25925925925925924
0.66,0.28125,0.54,0.9,0.16666666666666666
0.67,0.22950819672131148,0.53,1.0,0.12962962962962962
0.68,0.22950819672131148,0.53,1.0,0.12962962962962962
0.6900000000000001,0.13793103448275862,0.5,1.0,0.07407407407407407
0.7000000000000001,0,0.46,0,0.0
0.71,0,0.46,0,0.0
0.72,0,0.46,0,0.0
0.73,0,0.46,0,0.0
0.74,0,0.46,0,0.0
0.75,0,0.46,0,0.0
0.76,0,0.46,0,0.0
0.77,0,0.46,0,0.0
0.78,0,0.46,0,0.0
0.79,0,0.46,0,0.0
0.8,0,0.46,0,0.0
0.81,0,0.46,0,0.0
0.8200000000000001,0,0.46,0,0.0
0.8300000000000001,0,0.46,0,0.0
0.84,0,0.46,0,0.0
0.85,0,0.46,0,0.0
0.86,0,0.46,0,0.0
0.87,0,0.46,0,0.0
0.88,0,0.46,0,0.0
0.89,0,0.46,0,0.0
0.9,0,0.46,0,0.0
0.91,0,0.46,0,0.0
0.92,0,0.46,0,0.0
0.93,0,0.46,0,0.0
0.9400000000000001,0,0.46,0,0.0
0.9500000000000001,0,0.46,0,0.0
0.96,0,0.46,0,0.0
0.97,0,0.46,0,0.0
0.98,0,0.46,0,0.0
0.99,0,0.46,0,0.0
1.0,0,0.46,0,0.0
