Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.717948717948718,0.56,0.56,1.0
0.01,0.717948717948718,0.56,0.56,1.0
0.02,0.717948717948718,0.56,0.56,1.0
0.03,0.717948717948718,0.56,0.56,1.0
0.04,0.717948717948718,0.56,0.56,1.0
0.05,0.717948717948718,0.56,0.56,1.0
0.06,0.717948717948718,0.56,0.56,1.0
0.07,0.717948717948718,0.56,0.56,1.0
0.08,0.717948717948718,0.56,0.56,1.0
0.09,0.717948717948718,0.56,0.56,1.0
0.1,0.717948717948718,0.56,0.56,1.0
0.11,0.717948717948718,0.56,0.56,1.0
0.12,0.717948717948718,0.56,0.56,1.0
0.13,0.717948717948718,0.56,0.56,1.0
0.14,0.717948717948718,0.56,0.56,1.0
0.15,0.717948717948718,0.56,0.56,1.0
0.16,0.717948717948718,0.56,0.56,1.0
0.17,0.717948717948718,0.56,0.56,1.0
0.18,0.717948717948718,0.56,0.56,1.0
0.19,0.717948717948718,0.56,0.56,1.0
0.2,0.717948717948718,0.56,0.56,1.0
0.21,0.717948717948718,0.56,0.56,1.0
0.22,0.717948717948718,0.56,0.56,1.0
0.23,0.717948717948718,0.56,0.56,1.0
0.24,0.717948717948718,0.56,0.56,1.0
0.25,0.717948717948718,0.56,0.56,1.0
0.26,0.717948717948718,0.56,0.56,1.0
0.27,0.717948717948718,0.56,0.56,1.0
0.28,0.717948717948718,0.56,0.56,1.0
0.29,0.717948717948718,0.56,0.56,1.0
0.3,0.717948717948718,0.56,0.56,1.0
0.31,0.717948717948718,0.56,0.56,1.0
0.32,0.717948717948718,0.56,0.56,1.0
0.33,0.717948717948718,0.56,0.56,1.0
0.34,0.717948717948718,0.56,0.56,1.0
0.35000000000000003,0.717948717948718,0.56,0.56,1.0
0.36,0.7210300429184548,0.5666666666666667,0.5637583892617449,1.0
0.37,0.7336244541484717,0.5933333333333334,0.5793103448275863,1.0
0.38,0.7417218543046357,0.61,0.5894736842105263,1.0
0.39,0.7539503386004515,0.6366666666666667,0.6072727272727273,0.9940476190476191
0.4,0.7728337236533958,0.6766666666666666,0.637065637065637,0.9821428571428571
0.41000000000000003,0.782816229116945,0.6966666666666667,0.6533864541832669,0.9761904761904762
0.42,0.7990196078431373,0.7266666666666667,0.6791666666666667,0.9702380952380952
0.43,0.800995024875622,0.7333333333333333,0.688034188034188,0.9583333333333334
0.44,0.8121827411167513,0.7533333333333333,0.7079646017699115,0.9523809523809523
0.45,0.8207792207792207,0.77,0.728110599078341,0.9404761904761905
0.46,0.8222811671087533,0.7766666666666666,0.7416267942583732,0.9226190476190477
0.47000000000000003,0.8415300546448087,0.8066666666666666,0.7777777777777778,0.9166666666666666
0.48,0.8491620111731844,0.82,0.8,0.9047619047619048
0.49,0.8603988603988604,0.8366666666666667,0.825136612021858,0.8988095238095238
0.5,0.8596491228070176,0.84,0.8448275862068966,0.875
0.51,0.8571428571428571,0.84,0.8571428571428571,0.8571428571428571
0.52,0.8430769230769232,0.83,0.8726114649681529,0.8154761904761905
0.53,0.8328075709779181,0.8233333333333334,0.8859060402684564,0.7857142857142857
0.54,0.8181818181818182,0.8133333333333334,0.9,0.75
0.55,0.7866666666666666,0.7866666666666666,0.8939393939393939,0.7023809523809523
0.56,0.7645051194539249,0.77,0.896,0.6666666666666666
0.5700000000000001,0.7456445993031359,0.7566666666666667,0.8991596638655462,0.6369047619047619
0.58,0.7028985507246377,0.7266666666666667,0.8981481481481481,0.5773809523809523
0.59,0.6741573033707865,0.71,0.9090909090909091,0.5357142857142857
0.6,0.6303501945525292,0.6833333333333333,0.9101123595505618,0.48214285714285715
0.61,0.6055776892430278,0.67,0.9156626506024096,0.4523809523809524
0.62,0.5560165975103735,0.6433333333333333,0.9178082191780822,0.39880952380952384
0.63,0.4890829694323144,0.61,0.9180327868852459,0.3333333333333333
0.64,0.4434389140271493,0.59,0.9245283018867925,0.2916666666666667
0.65,0.4112149532710281,0.58,0.9565217391304348,0.2619047619047619
0.66,0.3015075376884422,0.5366666666666666,0.967741935483871,0.17857142857142858
0.67,0.24083769633507857,0.5166666666666667,1.0,0.13690476190476192
0.68,0.1639344262295082,0.49,1.0,0.08928571428571429
0.6900000000000001,0.0909090909090909,0.4666666666666667,1.0,0.047619047619047616
0.7000000000000001,0,0.44,0,0.0
0.71,0,0.44,0,0.0
0.72,0,0.44,0,0.0
0.73,0,0.44,0,0.0
0.74,0,0.44,0,0.0
0.75,0,0.44,0,0.0
0.76,0,0.44,0,0.0
0.77,0,0.44,0,0.0
0.78,0,0.44,0,0.0
0.79,0,0.44,0,0.0
0.8,0,0.44,0,0.0
0.81,0,0.44,0,0.0
0.8200000000000001,0,0.44,0,0.0
0.8300000000000001,0,0.44,0,0.0
0.84,0,0.44,0,0.0
0.85,0,0.44,0,0.0
0.86,0,0.44,0,0.0
0.87,0,0.44,0,0.0
0.88,0,0.44,0,0.0
0.89,0,0.44,0,0.0
0.9,0,0.44,0,0.0
0.91,0,0.44,0,0.0
0.92,0,0.44,0,0.0
0.93,0,0.44,0,0.0
0.9400000000000001,0,0.44,0,0.0
0.9500000000000001,0,0.44,0,0.0
0.96,0,0.44,0,0.0
0.97,0,0.44,0,0.0
0.98,0,0.44,0,0.0
0.99,0,0.44,0,0.0
1.0,0,0.44,0,0.0
