Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.6666666666666666,0.5,0.5,1.0
0.01,0.6666666666666666,0.5,0.5,1.0
0.02,0.6666666666666666,0.5,0.5,1.0
0.03,0.6666666666666666,0.5,0.5,1.0
0.04,0.6666666666666666,0.5,0.5,1.0
0.05,0.6666666666666666,0.5,0.5,1.0
0.06,0.6666666666666666,0.5,0.5,1.0
0.07,0.6666666666666666,0.5,0.5,1.0
0.08,0.6666666666666666,0.5,0.5,1.0
0.09,0.6666666666666666,0.5,0.5,1.0
0.1,0.6666666666666666,0.5,0.5,1.0
0.11,0.6666666666666666,0.5,0.5,1.0
0.12,0.6666666666666666,0.5,0.5,1.0
0.13,0.6666666666666666,0.5,0.5,1.0
0.14,0.6666666666666666,0.5,0.5,1.0
0.15,0.6666666666666666,0.5,0.5,1.0
0.16,0.6666666666666666,0.5,0.5,1.0
0.17,0.6666666666666666,0.5,0.5,1.0
0.18,0.6666666666666666,0.5,0.5,1.0
0.19,0.6666666666666666,0.5,0.5,1.0
0.2,0.6666666666666666,0.5,0.5,1.0
0.21,0.6666666666666666,0.5,0.5,1.0
0.22,0.6666666666666666,0.5,0.5,1.0
0.23,0.6666666666666666,0.5,0.5,1.0
0.24,0.6666666666666666,0.5,0.5,1.0
0.25,0.6666666666666666,0.5,0.5,1.0
0.26,0.6666666666666666,0.5,0.5,1.0
0.27,0.6666666666666666,0.5,0.5,1.0
0.28,0.6666666666666666,0.5,0.5,1.0
0.29,0.6666666666666666,0.5,0.5,1.0
0.3,0.6666666666666666,0.5,0.5,1.0
0.31,0.6666666666666666,0.5,0.5,1.0
0.32,0.6666666666666666,0.5,0.5,1.0
0.33,0.6666666666666666,0.5,0.5,1.0
0.34,0.6666666666666666,0.5,0.5,1.0
0.35,0.6666666666666666,0.5,0.5,1.0
0.36,0.6711409395973155,0.51,0.5050505050505051,1.0
0.37,0.6802721088435374,0.53,0.5154639175257731,1.0
0.38,0.6802721088435374,0.53,0.5154639175257731,1.0
0.39,0.684931506849315,0.54,0.5208333333333334,1.0
0.4,0.7299270072992701,0.63,0.5747126436781609,1.0
0.41,0.7352941176470588,0.64,0.5813953488372093,1.0
0.42,0.7518796992481204,0.67,0.6024096385542169,1.0
0.43,0.7538461538461539,0.68,0.6125,0.98
0.44,0.765625,0.7,0.6282051282051282,0.98
0.45,0.7804878048780488,0.73,0.6575342465753424,0.96
0.46,0.7563025210084033,0.71,0.6521739130434783,0.9
0.47,0.7627118644067796,0.72,0.6617647058823529,0.9
0.48,0.7719298245614036,0.74,0.6875,0.88
0.49,0.7787610619469026,0.75,0.6984126984126984,0.88
0.5,0.7889908256880733,0.77,0.7288135593220338,0.86
0.51,0.8113207547169812,0.8,0.7678571428571429,0.86
0.52,0.8155339805825242,0.81,0.7924528301886793,0.84
0.53,0.7878787878787878,0.79,0.7959183673469388,0.78
0.54,0.7708333333333333,0.78,0.8043478260869565,0.74
0.55,0.7578947368421052,0.77,0.8,0.72
0.56,0.7311827956989247,0.75,0.7906976744186046,0.68
0.57,0.717391304347826,0.74,0.7857142857142857,0.66
0.58,0.6666666666666666,0.71,0.7837837837837838,0.58
0.59,0.6428571428571429,0.7,0.7941176470588235,0.54
0.6,0.5925925925925926,0.67,0.7741935483870968,0.48
0.61,0.5822784810126583,0.67,0.7931034482758621,0.46
0.62,0.5599999999999999,0.67,0.84,0.42
0.63,0.47058823529411764,0.64,0.8888888888888888,0.32
0.64,0.42424242424242425,0.62,0.875,0.28
0.65,0.42424242424242425,0.62,0.875,0.28
0.66,0.32786885245901637,0.59,0.9090909090909091,0.2
0.67,0.3050847457627119,0.59,1.0,0.18
0.68,0.11320754716981131,0.53,1.0,0.06
0.69,0.0392156862745098,0.51,1.0,0.02
0.7,0,0.5,0,0.0
0.71,0,0.5,0,0.0
0.72,0,0.5,0,0.0
0.73,0,0.5,0,0.0
0.74,0,0.5,0,0.0
0.75,0,0.5,0,0.0
0.76,0,0.5,0,0.0
0.77,0,0.5,0,0.0
0.78,0,0.5,0,0.0
0.79,0,0.5,0,0.0
0.8,0,0.5,0,0.0
0.81,0,0.5,0,0.0
0.82,0,0.5,0,0.0
0.83,0,0.5,0,0.0
0.84,0,0.5,0,0.0
0.85,0,0.5,0,0.0
0.86,0,0.5,0,0.0
0.87,0,0.5,0,0.0
0.88,0,0.5,0,0.0
0.89,0,0.5,0,0.0
0.9,0,0.5,0,0.0
0.91,0,0.5,0,0.0
0.92,0,0.5,0,0.0
0.93,0,0.5,0,0.0
0.94,0,0.5,0,0.0
0.95,0,0.5,0,0.0
0.96,0,0.5,0,0.0
0.97,0,0.5,0,0.0
0.98,0,0.5,0,0.0
0.99,0,0.5,0,0.0
1.0,0,0.5,0,0.0
