Threshold,F1-Score,Accuracy,Precision,Recall
0.0,0.7012987012987013,0.54,0.54,1.0
0.01,0.7012987012987013,0.54,0.54,1.0
0.02,0.7012987012987013,0.54,0.54,1.0
0.03,0.7012987012987013,0.54,0.54,1.0
0.04,0.7012987012987013,0.54,0.54,1.0
0.05,0.7012987012987013,0.54,0.54,1.0
0.06,0.7012987012987013,0.54,0.54,1.0
0.07,0.7012987012987013,0.54,0.54,1.0
0.08,0.7012987012987013,0.54,0.54,1.0
0.09,0.7012987012987013,0.54,0.54,1.0
0.1,0.7012987012987013,0.54,0.54,1.0
0.11,0.7012987012987013,0.54,0.54,1.0
0.12,0.7012987012987013,0.54,0.54,1.0
0.13,0.7012987012987013,0.54,0.54,1.0
0.14,0.7012987012987013,0.54,0.54,1.0
0.15,0.7012987012987013,0.54,0.54,1.0
0.16,0.7012987012987013,0.54,0.54,1.0
0.17,0.7012987012987013,0.54,0.54,1.0
0.18,0.7012987012987013,0.54,0.54,1.0
0.19,0.7012987012987013,0.54,0.54,1.0
0.2,0.7012987012987013,0.54,0.54,1.0
0.21,0.7012987012987013,0.54,0.54,1.0
0.22,0.7012987012987013,0.54,0.54,1.0
0.23,0.7012987012987013,0.54,0.54,1.0
0.24,0.7012987012987013,0.54,0.54,1.0
0.25,0.7012987012987013,0.54,0.54,1.0
0.26,0.7012987012987013,0.54,0.54,1.0
0.27,0.7012987012987013,0.54,0.54,1.0
0.28,0.7012987012987013,0.54,0.54,1.0
0.29,0.7012987012987013,0.54,0.54,1.0
0.3,0.7012987012987013,0.54,0.54,1.0
0.31,0.7012987012987013,0.54,0.54,1.0
0.32,0.7012987012987013,0.54,0.54,1.0
0.33,0.7012987012987013,0.54,0.54,1.0
0.34,0.7012987012987013,0.54,0.54,1.0
0.35,0.7012987012987013,0.54,0.54,1.0
0.36,0.7058823529411764,0.55,0.5454545454545454,1.0
0.37,0.72,0.58,0.5625,1.0
0.38,0.6986301369863014,0.56,0.5543478260869565,0.9444444444444444
0.39,0.7234042553191489,0.61,0.5862068965517241,0.9444444444444444
0.4,0.7285714285714286,0.62,0.5930232558139535,0.9444444444444444
0.41,0.7500000000000001,0.66,0.6219512195121951,0.9444444444444444
0.42,0.7669172932330827,0.69,0.6455696202531646,0.9444444444444444
0.43,0.7786259541984734,0.71,0.6623376623376623,0.9444444444444444
0.44,0.7968749999999999,0.74,0.6891891891891891,0.9444444444444444
0.45,0.8095238095238096,0.76,0.7083333333333334,0.9444444444444444
0.46,0.816,0.77,0.7183098591549296,0.9444444444444444
0.47,0.8235294117647058,0.79,0.7538461538461538,0.9074074074074074
0.48,0.8205128205128205,0.79,0.7619047619047619,0.8888888888888888
0.49,0.8421052631578948,0.82,0.8,0.8888888888888888
0.5,0.8288288288288288,0.81,0.8070175438596491,0.8518518518518519
0.51,0.8256880733944955,0.81,0.8181818181818182,0.8333333333333334
0.52,0.8190476190476189,0.81,0.8431372549019608,0.7962962962962963
0.53,0.8076923076923077,0.8,0.84,0.7777777777777778
0.54,0.8118811881188118,0.81,0.8723404255319149,0.7592592592592593
0.55,0.7835051546391752,0.79,0.8837209302325582,0.7037037037037037
0.56,0.7578947368421053,0.77,0.8780487804878049,0.6666666666666666
0.57,0.7252747252747254,0.75,0.8918918918918919,0.6111111111111112
0.58,0.6818181818181819,0.72,0.8823529411764706,0.5555555555555556
0.59,0.6511627906976744,0.7,0.875,0.5185185185185185
0.6,0.6024096385542169,0.67,0.8620689655172413,0.46296296296296297
0.61,0.5679012345679013,0.65,0.8518518518518519,0.42592592592592593
0.62,0.5316455696202531,0.63,0.84,0.3888888888888889
0.63,0.48,0.61,0.8571428571428571,0.3333333333333333
0.64,0.42253521126760574,0.59,0.8823529411764706,0.2777777777777778
0.65,0.40579710144927533,0.59,0.9333333333333333,0.25925925925925924
0.66,0.28125,0.54,0.9,0.16666666666666666
0.67,0.19672131147540986,0.51,0.8571428571428571,0.1111111111111111
0.68,0.19672131147540986,0.51,0.8571428571428571,0.1111111111111111
0.69,0.13793103448275862,0.5,1.0,0.07407407407407407
0.7,0,0.46,0,0.0
0.71,0,0.46,0,0.0
0.72,0,0.46,0,0.0
0.73,0,0.46,0,0.0
0.74,0,0.46,0,0.0
0.75,0,0.46,0,0.0
0.76,0,0.46,0,0.0
0.77,0,0.46,0,0.0
0.78,0,0.46,0,0.0
0.79,0,0.46,0,0.0
0.8,0,0.46,0,0.0
0.81,0,0.46,0,0.0
0.82,0,0.46,0,0.0
0.83,0,0.46,0,0.0
0.84,0,0.46,0,0.0
0.85,0,0.46,0,0.0
0.86,0,0.46,0,0.0
0.87,0,0.46,0,0.0
0.88,0,0.46,0,0.0
0.89,0,0.46,0,0.0
0.9,0,0.46,0,0.0
0.91,0,0.46,0,0.0
0.92,0,0.46,0,0.0
0.93,0,0.46,0,0.0
0.94,0,0.46,0,0.0
0.95,0,0.46,0,0.0
0.96,0,0.46,0,0.0
0.97,0,0.46,0,0.0
0.98,0,0.46,0,0.0
0.99,0,0.46,0,0.0
1.0,0,0.46,0,0.0
