id,tema_a,tema_b,match_humano
nhanes_1,presenca de dhrplc,proteina c reativa ultrassensivel,0
nhanes_2,niveis de hemoglobina glicada,analise de hemoglobina,1
nhanes_3,consumo diario de nutrientes,consumo alimentar,1
nhanes_4,consumo nutricional diario,nutrientes dieteticos,1
nhanes_5,analise de opioides,valores de ureia,0
nhanes_6,padroes de ingestao nutricional,insulina,0
nhanes_7,concentracao de mercurio no sangue,mercurio total,1
nhanes_8,pesquisa de dieta,nutricao,1
nhanes_9,escala de sintomas psicologicos,avaliacao de sintomas,1
nhanes_10,nutricao,suplementos dieteticos,1
nhanes_11,localizacao de consumo,dados de saude,0
nhanes_12,niveis de mercurio no sangue,mercurio e manganes,1
nhanes_13,localizacao de consumo,pesquisa nhanes,0
nhanes_14,dados de saude,pesquisa nhanes,0
nhanes_15,compostos nitrogenados,niveis de nitrato,1
nhanes_16,dados demograficos,frequencia de consumo,0
nhanes_17,frequencia de suplementacao,dados de saude,0
nhanes_18,concentracao de selenio,perfil urinario de tiocianato,0
nhanes_19,ingestao de vitaminas,nutrientes e vitaminas,1
nhanes_20,pesquisa laboratorial de saude,analise de biomarcadores,1
nhanes_21,pesquisa laboratorial de saude,dados laboratoriais,1
nhanes_22,avaliacao de sintomas,condicoes cronicas,0
nhanes_23,ingestao calorica diaria,nutrientes totais,1
nhanes_24,exame de saude,exame auditivo,1
nhanes_25,valores de limite de deteccao,dados laboratoriais,0
nhanes_26,saude emocional,saude hepatica,0
nhanes_27,indice de massa corporal,analise de composicao corporal,1
nhanes_28,pesos amostrais,analise de subprodutos de estireno,0
nhanes_29,indice de gordura,analise de saude,0
nhanes_30,avaliacao de sintomas depressivos,saude mental,1
nhanes_31,limiares laboratoriais,glicemia abaixo do limite de deteccao,1
nhanes_32,respostas de questionario de saude,comportamento de saude,0
nhanes_33,prevalencia de condicoes de sono,uso de servicos de saude,0
nhanes_34,pesos amostrais,variaveis biometricas,0
nhanes_35,comportamento de saude,uso de servicos de saude,1
nhanes_36,dados biometricos,densitometria ossea,1
nhanes_37,analise laboratorial,analise de substancias quimicas,1
nhanes_38,exame de coluna,dados de exames,1
nhanes_39,valores laboratoriais,perfil de pfas,0
nhanes_40,avaliacao indicadores nutricionais,suplementos alimentares,1
nhanes_41,analise de exames oftalmologicos,exame de visao,1
nhanes_42,pesos amostrais,compostos organicos volateis,0
nhanes_43,valores de marcadores,metabolitos urinarios,0
nhanes_44,condicao dental,status de saude,1
nhanes_45,saude bucal,status de saude,1
nhanes_46,variaveis biometricas,biomonitoramento,1
nhanes_47,indice de colesterol serico,indice de saude cardiovascular,1
nhanes_48,questionario de saude,historico familiar de doencas,1
nhanes_49,avaliacao de sintomas,comportamento compulsivo,0
nhanes_50,pontuacao de saude mental,tempo de trabalho,0
nhanes_51,status de saude,status de exame oral,1
nhanes_52,niveis de creatinina,creatinina urinaria,1
nhanes_53,avaliacao de condicoes dentarias,perda dentaria,1
nhanes_54,dados de saude,ferritina serica,1
nhanes_55,valores de referencia,creatinina urinaria,0
nhanes_56,dados demograficos,qualidade de vida,0
nhanes_57,analise de biomarcadores sanguineos,marcadores de funcao hepatica e renal,1
nhanes_58,concentracao de analitos,analise de saude,0
nhanes_59,tempo de atividade,saude,0
nhanes_60,contagem de leucocitos,leucograma,1
nhanes_61,concentracao de urina,ucm urinario,1
nhanes_62,deteccao de substancias,exposicao a contaminantes,1
nhanes_63,analise de hemoglobina,hematocrito,0
nhanes_64,estudo de exposicao ao tabaco,tendencias de saude,0
nhanes_65,niveis de bilirrubina,dosagem de cotinina,0
nhanes_66,pesquisa biomedica,analise de biomarcadores,1
nhanes_67,condicoes medicas associadas,diagnosticos de doencas,1
nhanes_68,pesos amostrais,exposicao a pesticidas,0
nhanes_69,dados de urina,urina gravidez,1
nhanes_70,pesos amostrais,analise de dados laboratoriais,0
nhanes_71,comportamento de consumo,composicao do cigarro,0
nhanes_72,pesos amostrais,exames de urina,0
nhanes_73,avaliacao de depressao,avaliacao de saude,1
nhanes_74,avaliacao de tabagismo,saude mental,0
nhanes_75,avaliacao de depressao,jejum laboratorial,0
nhanes_76,avaliacao de tabagismo,tabagismo,1
nhanes_77,exames de urina,metais urinarios,1
nhanes_78,avaliacao de saude vocal,exposicao a compostos organicos volateis,0
nhanes_79,analise laboratorial,biomarcador laboratorial,1
nhanes_80,percepcao de saude fisica,percepcao de peso,1
nhanes_81,respostas de questionario,tentativas de emagrecimento,0
nhanes_82,analise laboratorial,pesos amostrais nhanes,0
nhanes_83,valores de biomarcadores,exposicao a bisfenol a,0
nhanes_84,pesquisa de diabetes,dados laboratoriais,0
nhanes_85,pesquisa de diabetes,pesquisa laboratorial,1
nhanes_86,analise de saude,glicose serica,0
nhanes_87,analise de colesterol,perfil lipidico,1
nhanes_88,niveis de glicose,niveis de biomarcadores,1
nhanes_89,niveis de biomarcadores,carotenoides sericos,0
nhanes_90,nivel de ldl,hdl colesterol serico,1
nhanes_91,hepatite b,exames de hepatite,1
nhanes_92,classificacao de resultados,analise de saude,1
nhanes_93,valores de marcadores sanguineos,analise de biomarcadores,1
nhanes_94,resultados laboratoriais,prevalencia de anticorpos hav,1
nhanes_95,padroes de ingestao,quantidade de bebidas,0
nhanes_96,saude mental,questionario de saude auditiva,0
nhanes_97,hepatite c,marcadores de hepatite,1
nhanes_98,padroes alimentares,questionario de saude,0
nhanes_99,valores nutricionais,frequencia alimentar,1
nhanes_100,peso amostral,comportamento alimentar,0
